ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_UTC,PERIODE_UTC,ES_AHIR,ESTAT,DATA_EXTRACCIO,HORA_CONSULTA_UTC,URL_FONT,CAPÇALERES_TROBADES,CAPÇALERES_LLISTAT,VAR_DVM_10_m_graus,VAR_DVM_2_m_graus,VAR_DVM_6_m_graus,VAR_GN_cm,VAR_HRM_perc,VAR_PM_hPa,VAR_PPT_mm,VAR_Període_TU,VAR_RS_W_m_2,VAR_TM_grausC,VAR_TN_grausC,VAR_TX_grausC,VAR_VVM_10_m_km_h,VAR_VVM_2_m_km_h,VAR_VVM_6_m_km_h,VAR_VVX_10_m_km_h,VAR_VVX_2_m_km_h,VAR_VVX_6_m_km_h,PERIODE,TM,TX,TN,HR,PPT,VVM,DVM,VVX,PM,Col_00,Col_01,Col_02,Col_03,Col_04,Col_05,Col_06,Col_07,Col_08,Col_09,RS,Col_10,Col_11
WB,Albesa,ALBESA_WB,2026-02-07,16:30 - 17:00,NO,OK,2026-02-07 17:15:26,16:30,https://www.meteo.cat/observacions/xema/dades?codi=WB&dia=2026-02-07T16:30Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h, RS W/m 2",,243,,,59,,0.0,16:30 - 17:00,23,10.6,10.4,10.9,,0.7,,,2.2,,16:30 - 17:00,10.6,10.9,10.4,59,0.0,0.7,243,2.2,23,16:30 - 17:00,10.6,10.9,10.4,59,0.0,0.7,243,2.2,23,,,
WB,Albesa,ALBESA_WB,2026-02-06,23:30 - 00:00,SÍ,OK,2026-02-07 17:15:28,00:00,https://www.meteo.cat/observacions/xema/dades?codi=WB&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h, RS W/m 2",,293,,,91,,0.0,23:30 - 00:00,0,6.4,5.9,6.5,,2.2,,,7.2,,23:30 - 00:00,6.4,6.5,5.9,91,0.0,2.2,293,7.2,0,23:30 - 00:00,6.4,6.5,5.9,91,0.0,2.2,293,7.2,0,,,
WB,Albesa,ALBESA_WB,2026-02-06,23:00 - 23:30,SÍ,OK,2026-02-07 17:15:28,00:00,https://www.meteo.cat/observacions/xema/dades?codi=WB&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h, RS W/m 2",,293,,,92,,0.0,23:00 - 23:30,0,6.5,6.5,6.5,,2.5,,,5.8,,23:00 - 23:30,6.5,6.5,6.5,92,0.0,2.5,293,5.8,0,23:00 - 23:30,6.5,6.5,6.5,92,0.0,2.5,293,5.8,0,,,
WB,Albesa,ALBESA_WB,2026-02-06,22:30 - 23:00,SÍ,OK,2026-02-07 17:15:28,00:00,https://www.meteo.cat/observacions/xema/dades?codi=WB&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h, RS W/m 2",,337,,,93,,0.0,22:30 - 23:00,0,6.5,6.4,6.8,,2.2,,,9.0,,22:30 - 23:00,6.5,6.8,6.4,93,0.0,2.2,337,9.0,0,22:30 - 23:00,6.5,6.8,6.4,93,0.0,2.2,337,9.0,0,,,
WB,Albesa,ALBESA_WB,2026-02-06,22:00 - 22:30,SÍ,OK,2026-02-07 17:15:28,00:00,https://www.meteo.cat/observacions/xema/dades?codi=WB&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h, RS W/m 2",,341,,,95,,0.0,22:00 - 22:30,0,7.2,6.8,7.5,,4.7,,,11.5,,22:00 - 22:30,7.2,7.5,6.8,95,0.0,4.7,341,11.5,0,22:00 - 22:30,7.2,7.5,6.8,95,0.0,4.7,341,11.5,0,,,
XY,Alcarràs,ALCARRAS_XY,2026-02-07,16:30 - 17:00,NO,OK,2026-02-07 17:15:30,16:30,https://www.meteo.cat/observacions/xema/dades?codi=XY&dia=2026-02-07T16:30Z,9,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h",,70,,,63,,0.0,16:30 - 17:00,,11.7,11.2,12.1,,0.0,,,1.8,,16:30 - 17:00,11.7,12.1,11.2,63,0.0,0.0,70,1.8,,16:30 - 17:00,11.7,12.1,11.2,63,0.0,0.0,70,1.8,,,,
XY,Alcarràs,ALCARRAS_XY,2026-02-06,23:30 - 00:00,SÍ,OK,2026-02-07 17:15:32,00:00,https://www.meteo.cat/observacions/xema/dades?codi=XY&dia=2026-02-06T00:00Z,9,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h",,265,,,100,,0.0,23:30 - 00:00,,6.9,6.5,7.3,,0.4,,,3.6,,23:30 - 00:00,6.9,7.3,6.5,100,0.0,0.4,265,3.6,,23:30 - 00:00,6.9,7.3,6.5,100,0.0,0.4,265,3.6,,,,
XY,Alcarràs,ALCARRAS_XY,2026-02-06,23:00 - 23:30,SÍ,OK,2026-02-07 17:15:32,00:00,https://www.meteo.cat/observacions/xema/dades?codi=XY&dia=2026-02-06T00:00Z,9,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h",,262,,,100,,0.0,23:00 - 23:30,,7.7,7.3,8.1,,0.4,,,3.2,,23:00 - 23:30,7.7,8.1,7.3,100,0.0,0.4,262,3.2,,23:00 - 23:30,7.7,8.1,7.3,100,0.0,0.4,262,3.2,,,,
XY,Alcarràs,ALCARRAS_XY,2026-02-06,22:30 - 23:00,SÍ,OK,2026-02-07 17:15:32,00:00,https://www.meteo.cat/observacions/xema/dades?codi=XY&dia=2026-02-06T00:00Z,9,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h",,219,,,100,,0.0,22:30 - 23:00,,8.0,7.9,8.1,,0.7,,,4.0,,22:30 - 23:00,8.0,8.1,7.9,100,0.0,0.7,219,4.0,,22:30 - 23:00,8.0,8.1,7.9,100,0.0,0.7,219,4.0,,,,
XY,Alcarràs,ALCARRAS_XY,2026-02-06,22:00 - 22:30,SÍ,OK,2026-02-07 17:15:32,00:00,https://www.meteo.cat/observacions/xema/dades?codi=XY&dia=2026-02-06T00:00Z,9,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h",,227,,,100,,0.0,22:00 - 22:30,,8.4,8.1,8.8,,0.0,,,2.5,,22:00 - 22:30,8.4,8.8,8.1,100,0.0,0.0,227,2.5,,22:00 - 22:30,8.4,8.8,8.1,100,0.0,0.0,227,2.5,,,,
